Wind Load Type,Glass Type,Glass sub-type 1,Nominal Thickness (mm),Support Condition,AR,k1,k2,k3,k4
ULS,Monolithic,Annealed,3,4-edge,1,1558.4,0.25,-0.6124,4.2
ULS,Monolithic,Annealed,3,4-edge,1.25,1373.2,0.2,-0.6071,-1.4
ULS,Monolithic,Annealed,3,4-edge,1.5,1313.4,0.2,-0.6423,-22.68
ULS,Monolithic,Annealed,3,4-edge,1.75,1343.4,0.3,-0.7112,-12.6
ULS,Monolithic,Annealed,3,4-edge,2,1381.9,0.4,-0.7642,-11.2
ULS,Monolithic,Annealed,3,4-edge,2.5,1184.5,0.3,-0.7255,2.8
ULS,Monolithic,Annealed,3,4-edge,3,667.6,-0.3,-0.4881,-8.4
ULS,Monolithic,Annealed,3,4-edge,5,655.7,0,-0.5,0
ULS,Monolithic,Annealed,3,2-edge,Independent,585.6,0,-0.5,0
ULS,Monolithic,Annealed,4,4-edge,1,2050.7,0.237712,-0.6124,5.7
ULS,Monolithic,Annealed,4,4-edge,1.25,1807.5,0.19017,-0.6071,-1.9
ULS,Monolithic,Annealed,4,4-edge,1.5,1725.7,0.19017,-0.6423,-30.78
ULS,Monolithic,Annealed,4,4-edge,1.75,1758.9,0.285254,-0.7112,-17.1
ULS,Monolithic,Annealed,4,4-edge,2,1804.6,0.380339,-0.7642,-15.2
ULS,Monolithic,Annealed,4,4-edge,2.5,1549.8,0.285254,-0.7255,3.8
ULS,Monolithic,Annealed,4,4-edge,3,884,-0.28525,-0.4881,-11.4
ULS,Monolithic,Annealed,4,4-edge,5,867.8,0,-0.5,0
ULS,Monolithic,Annealed,4,2-edge,Independent,774.9,0,-0.5,0
ULS,Monolithic,Annealed,5,4-edge,1,2527.1,0.228312,-0.6124,7.2
ULS,Monolithic,Annealed,5,4-edge,1.25,2227.9,0.182649,-0.6071,-2.4
ULS,Monolithic,Annealed,5,4-edge,1.5,2124.1,0.182649,-0.6423,-38.88
ULS,Monolithic,Annealed,5,4-edge,1.75,2159,0.273974,-0.7112,-21.6
ULS,Monolithic,Annealed,5,4-edge,2,2210.3,0.365299,-0.7642,-19.2
ULS,Monolithic,Annealed,5,4-edge,2.5,1901.2,0.273974,-0.7255,4.8
ULS,Monolithic,Annealed,5,4-edge,3,1094.8,-0.27397,-0.4881,-14.4
ULS,Monolithic,Annealed,5,4-edge,5,1074.2,0,-0.5,0
ULS,Monolithic,Annealed,5,2-edge,Independent,959.3,0,-0.5,0
ULS,Monolithic,Annealed,6,4-edge,1,2990.8,0.220697,-0.6124,8.7
ULS,Monolithic,Annealed,6,4-edge,1.25,2637.2,0.176558,-0.6071,-2.9
ULS,Monolithic,Annealed,6,4-edge,1.5,2511.3,0.176558,-0.6423,-46.98
ULS,Monolithic,Annealed,6,4-edge,1.75,2546.6,0.264836,-0.7112,-26.1
ULS,Monolithic,Annealed,6,4-edge,2,2602.4,0.353115,-0.7642,-23.2
ULS,Monolithic,Annealed,6,4-edge,2.5,2241.4,0.264836,-0.7255,5.8
ULS,Monolithic,Annealed,6,4-edge,3,1301.2,-0.26484,-0.4881,-17.4
ULS,Monolithic,Annealed,6,4-edge,5,1276.2,0,-0.5,0
